OBJECTID,Street1,Street2,Intersect,Long,Lat
1099,DENMAN ST,LYDIA ST,LYDIA ST & DENMAN ST,-123.334367250111,48.4325541565228
1100,BRIGHTON AVE,MADDISON ST,MADDISON ST & BRIGHTON AVE,-123.32656479165,48.4241887258719
1101,LAWNDALE AVE,MADDISON ST,MADDISON ST & LAWNDALE AVE,-123.326529676784,48.4227838753644
1102,HARRIET RD,MADDOCK AVE E,MADDOCK AVE E & HARRIET RD,-123.386778778783,48.4473865817062
1103,IRMA ST,MADDOCK AVE E,MADDOCK AVE E & IRMA ST,-123.385387491297,48.4466993307455
1104,BALFOUR AVE,MADDOCK AVE E,MADDOCK AVE E & BALFOUR AVE,-123.384229157931,48.4461271249439
1105,ESQUIMALT RD,MAITLAND ST,MAITLAND ST & ESQUIMALT RD,-123.390358213312,48.430777644049
1106,COOK ST,MALLEK CRES,MALLEK CRES & COOK ST,-123.34944093613,48.4462466767082
1107,COOK ST,MALLEK CRES,MALLEK CRES & COOK ST,-123.349206335842,48.4453151107614
1108,CECELIA RD,MANCHESTER RD,MANCHESTER RD & CECELIA RD,-123.373461844121,48.4422439743852
1109,BURNSIDE RD E,MANCHESTER RD,MANCHESTER RD & BURNSIDE RD E,-123.370572104027,48.4426114768662
1110,JOAN CRES,MANOR RD,MANOR RD & JOAN CRES,-123.342415607783,48.4204991974757
1111,GOVERNMENT ST,MARIFIELD AVE,MARIFIELD AVE & GOVERNMENT ST,-123.369586445957,48.4147961714989
1112,DOUGLAS ST,MARKET ST,MARKET ST & DOUGLAS ST,-123.367336994917,48.4390731347703
1113,BLANSHARD ST,MARKET ST,MARKET ST & BLANSHARD ST,-123.363644408815,48.4397540542892
1114,DALLAS RD,MARLBOROUGH ST,MARLBOROUGH ST & DALLAS RD,-123.356573532234,48.4078746826639
1115,FINLAYSON ST,MARS ST,MARS ST & FINLAYSON ST,-123.353712298587,48.4472128303942
1116,LANGFORD ST,MARY ST,MARY ST & LANGFORD ST,-123.38603744479,48.4346874779244
1117,BELLA ST,MARY ST,MARY ST & BELLA ST,-123.386029103539,48.4342353133856
1118,EDWARD ST,MARY ST,MARY ST & EDWARD ST,-123.386020763812,48.4337831488057
1119,HENRY ST,MARY ST,MARY ST & HENRY ST,-123.385990682208,48.4321505824001
1120,DUNDAS ST,MARY ST,MARY ST & DUNDAS ST,-123.385974608888,48.4312692898626
1121,ESQUIMALT RD,MARY ST,MARY ST & ESQUIMALT RD,-123.385958532385,48.4303874897898
1122,AMELIA ST,MASON ST,MASON ST & AMELIA ST,-123.360383090877,48.4280857401081
1123,COOK ST,MASON ST,MASON ST & COOK ST,-123.353161363148,48.428157216691
1124,CHAMBERS ST,MASON ST,MASON ST & CHAMBERS ST,-123.350251905762,48.4275618341037
1125,FAIRFIELD RD,MASTERS RD,MASTERS RD & FAIRFIELD RD,-123.346215657515,48.4143229863177
1126,LILLOOET HTS,MASTERS RD,MASTERS RD & LILLOOET HTS,-123.346040912967,48.4128465676612
1127,BELMONT AVE,MAUD ST,MAUD ST & BELMONT AVE,-123.338017486257,48.4247112771024
1128,COOK ST,MAY ST,MAY ST & COOK ST,-123.357309933732,48.4122157055251
1129,CAMBRIDGE ST,MAY ST,MAY ST & CAMBRIDGE ST,-123.354589259258,48.4119209258929
1130,LINDEN AVE,MAY ST,MAY ST & LINDEN AVE,-123.353349710702,48.4117865988931
